match_id,round,map,bot1_id,bot1_name,bot2_id,bot2_name,result_type,game_steps,duration_minutes,is_timeout,match_created,match_started,result_created
4667747,41408,150,809,PrimordialOrigin,827,smokinggunbot,Player2Win,24495,18.23,False,2026-03-04T20:34:25.137478Z,2026-03-04T22:11:45.467455Z,2026-03-04T22:28:42.770042Z
4667823,41408,154,977,Siriusly,876,GenesisLotus,Player1Win,13806,10.27,False,2026-03-04T20:34:26.220903Z,2026-03-04T22:24:57.303330Z,2026-03-04T22:30:52.174200Z
4667837,41408,156,248,Eris,340,MechaShark,Player1Win,14074,10.47,False,2026-03-04T20:34:26.417155Z,2026-03-04T22:23:55.421217Z,2026-03-04T22:35:51.691798Z
4667750,41408,156,809,PrimordialOrigin,971,Nothing,Player2Win,9778,7.28,False,2026-03-04T20:34:25.156354Z,2026-03-04T22:33:35.966244Z,2026-03-04T22:39:10.578367Z
4667822,41408,155,977,Siriusly,1023,MY_SCRIPTING_SON,Player1Win,23224,17.28,False,2026-03-04T20:34:26.206163Z,2026-03-04T22:30:02.657334Z,2026-03-04T22:49:46.016785Z
4667788,41408,155,699,Clicadinha,262,whalemean,Player2Win,21890,16.29,False,2026-03-04T20:34:25.719068Z,2026-03-04T22:40:11.594234Z,2026-03-04T22:55:50.481689Z
4667830,41408,155,352,Belzebuth,827,smokinggunbot,InitializationError,0,,False,2026-03-04T20:34:26.313165Z,2026-03-04T23:29:58.084758Z,2026-03-04T23:31:00.348156Z
4667811,41408,155,930,SiriusBot,201,QueenBot,Player1Win,15260,11.35,False,2026-03-04T20:34:26.036406Z,2026-03-04T23:23:22.754317Z,2026-03-04T23:39:58.321299Z
4667881,41408,155,340,MechaShark,605,nida,Player2Win,15635,11.63,False,2026-03-04T20:34:27.034459Z,2026-03-04T20:41:28.404005Z,2026-03-04T20:47:20.080639Z
4667961,41408,154,960,BigDaddy,1032,WaterLeak,Player2Win,11802,8.78,False,2026-03-04T20:34:28.333147Z,2026-03-04T20:40:57.447735Z,2026-03-04T20:48:19.609131Z
4667861,41408,154,709,Laser-Circus,1038,PolyMorph,Player2Win,16818,12.51,False,2026-03-04T20:34:26.732190Z,2026-03-04T20:34:28.457148Z,2026-03-04T20:50:58.711285Z
4667904,41408,151,338,smallBly,346,Sharkling,Player2Win,4152,3.09,False,2026-03-04T20:34:27.409890Z,2026-03-04T20:52:08.614555Z,2026-03-04T20:54:01.716062Z
4667905,41408,150,338,smallBly,797,WickedBot,Player1Win,7836,5.83,False,2026-03-04T20:34:27.416005Z,2026-03-04T20:54:40.666813Z,2026-03-04T20:57:56.199622Z
4667917,41408,151,1049,TheCatSC2Bot,1038,PolyMorph,Player2Win,11915,8.87,False,2026-03-04T20:34:27.624935Z,2026-03-04T20:57:43.515410Z,2026-03-04T21:01:33.324860Z
4667951,41408,151,201,QueenBot,960,BigDaddy,Player2Win,10057,7.48,False,2026-03-04T20:34:28.147325Z,2026-03-04T21:09:55.150481Z,2026-03-04T21:16:27.481471Z
4667856,41408,150,709,Laser-Circus,1049,TheCatSC2Bot,Player1Win,14552,10.83,False,2026-03-04T20:34:26.654305Z,2026-03-04T21:10:56.019644Z,2026-03-04T21:17:44.514233Z
4667862,41408,152,262,whalemean,340,MechaShark,Tie,18165,13.52,False,2026-03-04T20:34:26.741838Z,2026-03-04T21:11:26.587736Z,2026-03-04T21:18:13.792850Z
4667941,41408,155,167,TyrT,201,QueenBot,Player2Win,24617,18.32,False,2026-03-04T20:34:28.016085Z,2026-03-04T20:54:41.177622Z,2026-03-04T21:18:59.832296Z
4667959,41408,155,718,Mulebot,960,BigDaddy,Player2Win,8520,6.34,False,2026-03-04T20:34:28.317702Z,2026-03-04T21:20:01.187746Z,2026-03-04T21:23:27.560676Z
4667948,41408,154,797,WickedBot,115,BenBotBC,Player2Win,22776,16.95,False,2026-03-04T20:34:28.119572Z,2026-03-04T21:19:03.152393Z,2026-03-04T21:30:13.574153Z
4667854,41408,155,709,Laser-Circus,943,puck,Player2Win,12122,9.02,False,2026-03-04T20:34:26.636250Z,2026-03-04T21:27:35.699443Z,2026-03-04T21:33:43.166186Z
4667858,41408,151,709,Laser-Circus,1023,MY_SCRIPTING_SON,Player2Win,18052,13.43,False,2026-03-04T20:34:26.714517Z,2026-03-04T21:29:06.123465Z,2026-03-04T21:37:41.933868Z
4667947,41408,150,797,WickedBot,730,Deimos,Player2Win,20352,15.14,False,2026-03-04T20:34:28.113229Z,2026-03-04T21:25:04.279089Z,2026-03-04T21:38:59.868738Z
4667956,41408,149,605,nida,730,Deimos,Player2Win,14465,10.76,False,2026-03-04T20:34:28.239543Z,2026-03-04T21:39:14.038901Z,2026-03-04T21:46:20.591248Z
4667896,41408,155,510,PhantomBot,708,Princess-Mika,Player1Win,12552,9.34,False,2026-03-04T20:34:27.303763Z,2026-03-04T21:38:44.308259Z,2026-03-04T21:49:16.269000Z
