bot_lo,bot_hi,bot_lo_name,bot_hi_name,elo_lo,elo_hi,N_normal,N_timelimit,N_abnormal,alpha_normal,alpha_timelimit,alpha_abnormal,W,L,D,n_dur,x_bar,E_A,alpha_win,alpha_draw,alpha_loss,mu_duration,sigma_duration
40,708,SharpenedEdge,Princess-Mika,1872,1521,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.882935,4.362712,0.05885,0.578438,2.349308,0.219992
40,709,SharpenedEdge,Laser-Circus,1872,1211,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.978226,4.833561,0.05885,0.107589,2.349308,0.219992
40,718,SharpenedEdge,Mulebot,1872,1689,12,0,0,16.652125,0.12592,0.22196,8,4,0,12,2.292001,0.741434,11.663534,0.05885,5.277616,2.308856,0.119307
40,720,SharpenedEdge,PiG_Bot,1872,1627,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.803819,3.971788,0.05885,0.969362,2.349308,0.219992
40,721,SharpenedEdge,49Terrapins,1872,1430,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.927193,4.581402,0.05885,0.359748,2.349308,0.219992
40,729,SharpenedEdge,Alexa,1872,1367,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.071913,0.948192,5.685159,0.05885,0.255991,2.303076,0.200824
40,730,SharpenedEdge,Deimos,1872,2155,46,0,0,50.652125,0.12592,0.22196,15,30,1,46,2.53687,0.163957,15.810134,1.05885,34.131016,2.518481,0.068882
40,732,SharpenedEdge,GPT,1872,1830,46,0,0,50.652125,0.12592,0.22196,5,41,0,46,2.231908,0.56015,7.767786,0.05885,43.173364,2.243418,0.068882
40,759,SharpenedEdge,BotTato,1872,1710,31,0,0,35.652125,0.12592,0.22196,30,1,0,31,2.44827,0.717592,33.545728,0.05885,2.395422,2.434525,0.081986
40,779,SharpenedEdge,oberon,1872,1472,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,1.911023,0.909091,5.491955,0.05885,0.449195,2.27626,0.200824
40,797,SharpenedEdge,WickedBot,1872,1707,34,0,1,38.652125,0.12592,1.22196,23,10,1,34,2.477031,0.721078,26.562956,1.05885,11.378194,2.460656,0.07877
40,809,SharpenedEdge,PrimordialOrigin,1872,1258,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.005526,0.971653,5.801082,0.05885,0.140068,2.292011,0.200824
40,813,SharpenedEdge,MewCombatMicro,1872,1511,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.888755,4.39147,0.05885,0.54968,2.349308,0.219992
40,827,SharpenedEdge,smokinggunbot,1872,1579,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,1.98238,0.843782,5.169255,0.05885,0.771895,2.288153,0.200824
40,832,SharpenedEdge,muravev,1872,1632,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.79924,3.949165,0.05885,0.991985,2.349308,0.219992
40,836,SharpenedEdge,muravevTerran,1872,1477,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.906684,4.480062,0.05885,0.461088,2.349308,0.219992
40,858,SharpenedEdge,Crawler,1872,1562,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.036012,0.856252,5.23087,0.05885,0.71028,2.297092,0.200824
40,876,SharpenedEdge,GenesisLotus,1872,1411,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.037317,0.93424,5.616222,0.05885,0.324928,2.297309,0.200824
40,901,SharpenedEdge,clone,1872,1667,13,0,0,17.652125,0.12592,0.22196,11,2,0,13,2.364098,0.764961,14.779788,0.05885,3.161362,2.359989,0.115946
40,930,SharpenedEdge,SiriusBot,1872,1519,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.884119,4.368566,0.05885,0.572584,2.349308,0.219992
40,939,SharpenedEdge,RustyNikolaj,1872,1539,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.871793,4.307658,0.05885,0.633492,2.349308,0.219992
40,940,SharpenedEdge,Princess-Mika-Test,1872,1524,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.125848,0.881138,5.353834,0.05885,0.587316,2.312065,0.200824
40,943,SharpenedEdge,puck,1872,1529,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.175887,0.87809,5.338775,0.05885,0.602375,2.320405,0.200824
40,948,SharpenedEdge,titania,1872,1185,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.105353,0.981196,5.848235,0.05885,0.092915,2.308649,0.200824
40,953,SharpenedEdge,ZeratulsRevengeTest,1872,1702,18,0,0,22.652125,0.12592,0.22196,4,14,0,18,1.696889,0.72683,7.591376,0.05885,15.349774,1.83872,0.102572
40,959,SharpenedEdge,ur_moms_a_ho,1872,1600,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.827178,4.087211,0.05885,0.853939,2.349308,0.219992
40,960,SharpenedEdge,BigDaddy,1872,1637,4,0,0,8.652125,0.12592,0.22196,4,0,0,4,2.101495,0.794582,7.926148,0.05885,1.015002,2.239169,0.163972
40,961,SharpenedEdge,AvocaDOS,1872,1751,35,0,0,39.652125,0.12592,0.22196,25,9,1,35,2.210007,0.667418,28.297815,1.05885,10.643335,2.22742,0.077779
40,962,SharpenedEdge,AvocaDEV,1872,1700,2,0,0,6.652125,0.12592,0.22196,2,0,0,2,2.229867,0.72911,5.602642,0.05885,1.338508,2.315182,0.185927
40,966,SharpenedEdge,ArgoBot,1872,1909,48,0,0,52.652125,0.12592,0.22196,21,27,0,48,2.495246,0.446953,23.208462,0.05885,29.732688,2.481478,0.06757
40,970,SharpenedEdge,TheLAW,1872,1576,2,0,0,6.652125,0.12592,0.22196,2,0,0,2,2.250679,0.846045,6.180436,0.05885,0.760714,2.321128,0.185927
40,971,SharpenedEdge,Nothing,1872,1570,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.141242,0.85049,5.2024,0.05885,0.73875,2.31463,0.200824
40,977,SharpenedEdge,Siriusly,1872,1392,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.940649,4.647888,0.05885,0.293262,2.349308,0.219992
40,981,SharpenedEdge,KoB,1872,1499,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.895403,4.424321,0.05885,0.516829,2.349308,0.219992
40,998,SharpenedEdge,LordSuperKing,1872,1656,9,0,0,13.652125,0.12592,0.22196,9,0,0,9,2.267345,0.776155,12.835096,0.05885,1.106054,2.296617,0.13147
40,1007,SharpenedEdge,SharkGull,1872,1605,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.823025,4.066688,0.05885,0.874462,2.349308,0.219992
40,1008,SharpenedEdge,Creepy_canon,1872,1587,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.837615,4.138784,0.05885,0.802366,2.349308,0.219992
40,1023,SharpenedEdge,MY_SCRIPTING_SON,1872,1275,0,0,1,4.652125,0.12592,1.22196,0,0,0,0,,0.968829,4.787131,0.05885,0.154019,2.349308,0.219992
40,1026,SharpenedEdge,WildLupo,1872,1199,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.159869,0.97965,5.840596,0.05885,0.100554,2.317735,0.200824
40,1029,SharpenedEdge,Chomppet,1872,1600,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.827178,4.087211,0.05885,0.853939,2.349308,0.219992
40,1030,SharpenedEdge,who,1872,1924,48,0,0,52.652125,0.12592,0.22196,3,45,0,48,1.60574,0.42572,5.103545,0.05885,47.837605,1.675888,0.06757
40,1032,SharpenedEdge,WaterLeak,1872,1607,19,0,0,23.652125,0.12592,0.22196,12,7,0,19,1.968327,0.821341,16.058371,0.05885,7.882779,2.047698,0.100412
40,1038,SharpenedEdge,PolyMorph,1872,1463,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.913283,4.512667,0.05885,0.428483,2.349308,0.219992
40,1042,SharpenedEdge,Creepy_duo_canon,1872,1386,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.942548,4.657272,0.05885,0.283878,2.349308,0.219992
40,1044,SharpenedEdge,DoopyBot,1872,1418,2,0,0,6.652125,0.12592,0.22196,2,0,0,2,2.377877,0.931721,6.603774,0.05885,0.337376,2.35747,0.185927
40,1045,SharpenedEdge,tito,1872,1801,38,1,0,42.652125,1.12592,0.22196,20,18,0,38,2.356954,0.600778,22.968535,0.05885,19.972615,2.356065,0.075016
40,1049,SharpenedEdge,TheCatSC2Bot,1872,970,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,1.979621,0.994472,5.913834,0.05885,0.027316,2.287694,0.200824
40,1050,SharpenedEdge,onlyfans,1872,1517,2,0,0,6.652125,0.12592,0.22196,2,0,0,2,2.184917,0.885294,6.374369,0.05885,0.566781,2.302339,0.185927
40,1052,SharpenedEdge,Starlight,1872,1204,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.223542,0.979068,5.837721,0.05885,0.103429,2.328347,0.200824
40,1054,SharpenedEdge,JimmyBotZ,1872,1724,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,1.95586,0.700977,4.463634,0.05885,1.477516,2.283733,0.200824
40,1056,SharpenedEdge,bilisaur,1872,1600,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.827178,4.087211,0.05885,0.853939,2.349308,0.219992
40,1057,SharpenedEdge,DoopyBot-Test,1872,1238,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.974657,4.815928,0.05885,0.125222,2.349308,0.219992
