round,bot_id,bot_name,elo,division
1,341,gotest,1510.57,3
1,1052,Starlight,1510.45,3
1,1078,LoremIpsum,1498.81,3
1,876,GenesisLotus,1496.28,3
1,352,Belzebuth,1491.08,3
1,1026,WildLupo,1483.83,3
1,1049,TheCatSC2Bot,1460.26,3
1,809,PrimordialOrigin,1459.92,3
2,248,Eris,1820.99,1
2,496,Zozo,1805.26,1
2,115,BenBotBC,1786.32,1
2,49,MicroMachine,1766.46,1
2,730,Deimos,1765.55,1
2,966,ArgoBot,1750.46,1
2,446,Xena,1746.46,1
2,1030,who,1743.02,1
2,40,SharpenedEdge,1713.23,1
2,517,VeTerran-revived,1704.97,1
2,223,DominionDog,1704.22,1
2,167,TyrT,1688.33,1
2,338,smallBly,1681.23,1
2,262,whalemean,1673.66,1
2,1089,WorkingAsIntended,1673.16,1
2,510,PhantomBot,1661.22,1
2,797,WickedBot,1655.5,1
2,732,GPT,1652.89,1
2,1045,tito,1649.66,1
2,346,Sharkling,1644.84,1
2,1079,JimmyBotT,1642.13,1
2,1080,JimmyBot,1637.53,1
2,699,Clicadinha,1635.12,1
2,1008,Creepy_canon,1634.77,1
2,1060,WildFire,1634.51,1
2,168,sharkbot,1632.26,1
2,998,LordSuperKing,1631.19,1
2,939,RustyNikolaj,1627.2,1
2,960,BigDaddy,1626.31,2
2,357,12PoolBot,1625.65,2
2,901,clone,1624.86,2
2,970,TheLAW,1622.69,2
2,827,smokinggunbot,1622.5,2
2,759,BotTato,1621.99,2
2,961,AvocaDOS,1612.96,2
2,340,MechaShark,1611.25,2
2,1058,JimmyBotP,1609.39,2
2,832,muravev,1604.63,2
2,526,Apidae,1603.57,2
2,1082,Dasyatis,1602.93,2
2,953,ZeratulsRevengeTest,1597.64,2
2,518,norman,1596.48,2
2,1007,SharkGull,1595.3,2
2,1023,MY_SCRIPTING_SON,1594.84,2
2,605,nida,1594.78,2
2,971,Nothing,1594.67,2
2,275,Lissy,1587.23,2
2,721,49Terrapins,1586.99,2
2,981,KoB,1585.77,2
2,1065,MindMatrix,1582.86,2
2,1054,JimmyBotZ,1581.81,2
2,516,27turtles,1577.47,2
2,1081,ArtZerg,1577.14,2
2,718,Mulebot,1565.24,2
2,112,Tyckles,1563.55,2
2,930,SiriusBot,1561.66,3
2,836,muravevTerran,1555.81,3
2,720,PiG_Bot,1555.47,3
2,1050,onlyfans,1555.25,3
2,201,QueenBot,1554.34,3
2,708,Princess-Mika,1551.35,3
2,1042,Creepy_duo_canon,1545.42,3
2,940,Princess-Mika-Test,1537.96,3
2,876,GenesisLotus,1537.45,3
2,858,Crawler,1537.03,3
2,341,gotest,1532.23,3
2,1038,PolyMorph,1528.75,3
