round,bot_a,bot_b,outcome_a,duration_minutes,category,division,elo_diff
1,1082,1080,1.0,7.7,normal,1,27.04
1,1082,526,0.0,12.38,normal,1,33.92
1,1082,720,1.0,9.57,normal,1,18.45
1,1082,1007,1.0,9.83,normal,1,2.03
1,1082,510,0.0,11.04,normal,1,1.82
1,1082,1049,1.0,7.47,normal,1,13.16
1,1082,201,1.0,10.61,normal,1,4.0
1,1082,961,0.0,14.87,normal,1,2.12
1,1082,1065,1.0,8.23,abnormal,1,4.67
1,1082,970,0.0,6.19,abnormal,1,19.87
1,1082,167,0.0,12.12,normal,1,12.01
1,1082,960,1.0,12.05,normal,1,49.76
1,1082,49,0.0,10.6,normal,1,32.13
1,1082,1030,0.0,10.79,normal,1,30.73
1,1082,797,0.0,2.73,abnormal,1,8.05
1,1082,1078,1.0,9.6,normal,1,15.25
1,1082,517,0.0,17.52,normal,1,23.45
1,1082,1079,0.0,10.41,normal,1,14.79
1,827,1085,0.5,60.0,timelimit,1,0.72
1,827,943,0.0,10.34,normal,1,13.55
1,827,721,0.0,12.75,normal,1,6.77
1,827,1080,0.0,9.13,normal,1,13.57
1,827,526,1.0,15.82,normal,1,52.6
1,827,720,0.0,11.65,normal,1,5.07
1,827,1007,1.0,10.79,normal,1,5.33
1,827,510,1.0,7.76,normal,1,21.05
1,827,1049,1.0,6.6,normal,1,26.03
1,827,201,0.0,11.52,normal,1,16.78
1,827,961,0.0,10.13,normal,1,21.49
1,827,1065,1.0,7.08,normal,1,1.59
1,827,970,0.0,7.97,normal,1,0.51
1,827,167,0.0,7.36,normal,1,30.19
1,827,960,0.0,15.82,normal,1,50.66
1,827,49,0.0,11.74,normal,1,65.41
1,827,1030,0.0,8.66,normal,1,63.29
1,827,797,0.0,9.04,normal,1,40.4
1,827,1078,1.0,12.52,normal,1,0.89
1,827,517,0.0,9.34,normal,1,54.33
1,827,1079,0.0,11.63,normal,1,45.16
1,1085,943,0.0,14.0,normal,1,21.92
1,1085,721,0.0,15.84,normal,1,15.11
1,1085,1080,0.5,60.0,timelimit,1,21.56
1,1085,526,1.0,10.3,normal,1,35.53
1,1085,720,0.0,8.93,normal,1,5.46
1,1085,1007,0.0,14.79,normal,1,10.29
1,1085,510,1.0,14.03,normal,1,21.42
1,1085,1049,1.0,8.48,normal,1,24.58
1,1085,201,1.0,9.7,normal,1,0.42
1,1085,961,0.0,7.82,normal,1,21.41
1,1085,1065,0.0,9.41,normal,1,17.13
1,1085,970,0.0,10.08,normal,1,16.28
1,1085,167,0.0,8.74,normal,1,45.89
1,1085,960,1.0,9.13,normal,1,65.54
1,1085,49,0.0,9.0,normal,1,63.63
1,1085,1030,0.0,11.43,normal,1,61.6
1,1085,797,1.0,7.99,normal,1,39.25
1,1085,1078,0.5,60.0,timelimit,1,31.32
1,1085,517,1.0,14.23,normal,1,45.64
1,1085,1079,0.0,9.83,normal,1,20.87
1,943,721,0.0,11.68,normal,1,14.15
1,943,1080,1.0,11.05,normal,1,15.18
1,943,526,0.0,7.72,normal,1,16.69
1,943,720,0.0,11.43,normal,1,12.86
1,943,1007,0.0,10.58,normal,1,27.83
1,943,510,0.0,10.0,normal,1,12.44
1,943,1049,1.0,13.04,normal,1,40.61
1,943,201,1.0,8.31,normal,1,15.82
1,943,961,1.0,9.11,normal,1,21.07
